ZAT,codigo_upz,nombre_upz,codigo_localidad,nombre_localidad,accesibilidad_arterial
751.0,59,ALFONSO LOPEZ,05,USME,4.0
742.0,57,GRAN YOMASA,05,USME,2.0
967.0,32,SAN BLAS,04,SAN CRISTOBAL,3.0
646.0,32,SAN BLAS,04,SAN CRISTOBAL,0.0
600.0,32,SAN BLAS,04,SAN CRISTOBAL,6.0
599.0,32,SAN BLAS,04,SAN CRISTOBAL,5.0
598.0,32,SAN BLAS,04,SAN CRISTOBAL,6.0
645.0,32,SAN BLAS,04,SAN CRISTOBAL,3.0
648.0,50,LA GLORIA,04,SAN CRISTOBAL,1.0
699.0,50,LA GLORIA,04,SAN CRISTOBAL,1.0
597.0,34,20 DE JULIO,04,SAN CRISTOBAL,4.0
596.0,34,20 DE JULIO,04,SAN CRISTOBAL,1.0
